Scenario,Simulations,Roth_Preservation_Rate,Avg_Final_Net_Worth,Median_Final_Net_Worth,Std_Final_Net_Worth,Avg_Final_Roth,Median_Final_Roth,Prob_Roth_Above_1M,Prob_Roth_Above_2M,Prob_Net_Worth_Above_5M,Avg_Shortfall_Years,Worst_Case_Net_Worth,Best_Case_Net_Worth
base_case,1000,0.843,11375670.940462202,8374039.480904849,10073083.445300648,3164702.1581936213,2657259.8176194513,0.895,0.676,0.741,0.158,1776227.8600139453,104913821.00293076
low_return,1000,0.775,7742994.022734154,5786150.406853545,6617090.5586733995,2182171.179891717,1890607.259692725,0.799,0.464,0.565,0.318,1776227.8600139453,57563510.23139675
high_volatility,1000,0.728,12919551.562621,7660220.396827202,15841634.924701897,3349413.1909959307,2426286.3292928906,0.78,0.589,0.649,0.823,1776227.8600139453,204128576.2589222
stagflation,1000,0.665,6587589.051290224,4524623.2840375295,6973654.962294614,1724321.821311655,1363603.5272145476,0.624,0.339,0.439,0.955,1776227.8600139453,71785524.23872234
